Instance	Externe IP	Ergebnis
london-s402-i01		Blocked
london-s402-i02	181.215.176.228	Blocked
london-s402-i03	181.215.176.229	Blocked
london-s402-i05	181.215.176.231	Blocked
london-s402-i06	181.215.176.232	Blocked
london-s402-i07	181.215.176.233	Blocked
london-s402-i08	181.215.176.234	Blocked
london-s402-i09	181.215.176.235	Blocked
london-s402-i11	181.215.176.237	Blocked
london-s402-i12	181.215.176.238	Blocked
london-s402-i13	181.215.176.239	Blocked
london-s402-i14	181.215.176.240	Blocked
london-s402-i15	181.215.176.241	Blocked
london-s402-i16	181.215.176.242	Blocked
london-s402-i17	181.215.176.243	Blocked
london-s402-i18	181.215.176.244	Blocked
london-s402-i19	181.215.176.245	Blocked
london-s402-i20	181.215.176.246	Blocked
london-s402-i21	181.215.176.247	Blocked
london-s402-i22	181.215.176.248	Blocked
london-s402-i23	181.215.176.249	Blocked
london-s402-i24	181.215.176.250	Blocked
london-s402-i25	181.215.176.251	Blocked
london-s402-i27	181.215.176.253	Blocked
london-s402-i28	181.215.176.254	Blocked
london-s473-i01	77.116.82.36	Blocked
london-s473-i02	77.116.82.36	Blocked
london-s473-i03	77.116.82.36	Blocked
london-s473-i04	77.116.82.36	Blocked
london-s473-i05	77.116.82.36	Blocked
london-s473-i06	77.116.82.36	Blocked
london-s473-i07	77.116.82.36	Blocked
london-s473-i08	77.116.82.36	Blocked
london-s473-i09	77.116.82.36	Blocked
london-s473-i10	77.116.82.36	Blocked
london-s473-i11	77.116.82.36	Blocked
london-s473-i12	77.116.82.36	Blocked
london-s473-i13	77.116.82.36	Blocked
london-s473-i14	77.116.82.36	Blocked
london-s473-i15	77.116.82.36	Blocked
london-s473-i16	77.116.82.36	Blocked
london-s473-i17	77.116.82.36	Blocked
london-s473-i18	77.116.82.36	Blocked
london-s473-i19	77.116.82.36	Blocked
london-s473-i20	77.116.82.36	Blocked
london-s473-i21	77.116.82.36	Blocked
london-s473-i22	77.116.82.36	Blocked
london-s473-i23	77.116.82.36	Blocked
