Server	Ergebnis
uk1784	Available
uk765	Available
uk812	Available
uk813	Available
uk814	Available
uk871	Available
uk873	Available
uk875	Available
uk877	Available
uk879	Available
uk884	Available
uk886	Skipped (VPN connection failed)
uk1806	Skipped (VPN connection failed)
uk888	Skipped (VPN connection failed)
uk890	Skipped (VPN connection failed)
uk892	Skipped (VPN connection failed)
uk894	Skipped (VPN connection failed)
uk896	Skipped (VPN connection failed)
uk898	Available
uk1785	Available
uk1789	Available
uk1790	Available
uk1791	Available
uk1792	Available
uk1807	Available
uk1808	Available
uk1809	Available
uk1810	Available
uk1811	Skipped (VPN connection failed)
uk1812	Skipped (VPN connection failed)
uk1813	Skipped (VPN connection failed)
uk1814	Skipped (VPN connection failed)
uk1815	Skipped (VPN connection failed)
uk1816	Skipped (VPN connection failed)
uk1821	Skipped (VPN connection failed)
uk1822	Available
uk1823	Available
uk1824	Skipped (VPN connection failed)
uk1825	Available
uk1826	Available
uk1827	Available
uk1828	Available
uk1829	Available
uk1830	Available
uk1835	Available
uk1836	Available
uk1837	Skipped (VPN connection failed)
uk1848	Skipped (VPN connection failed)
uk1849	Skipped (VPN connection failed)
uk1850	Skipped (VPN connection failed)
uk1851	Skipped (VPN connection failed)
uk1838	Skipped (VPN connection failed)
uk1839	Available
uk1840	Available
uk1841	Skipped (VPN connection failed)
uk1842	Skipped (VPN connection failed)
uk1843	Available
uk1844	Available
uk1845	Available
uk1846	Available
uk1847	Available
uk1866	Available
uk1867	Available
uk1873	Available
uk1877	Skipped (VPN connection failed)
uk1878	Skipped (VPN connection failed)
uk1879	Skipped (VPN connection failed)
uk1882	Skipped (VPN connection failed)
uk1883	Skipped (VPN connection failed)
uk1884	Available
uk1885	Skipped (VPN connection failed)
uk1886	Available
uk1887	Skipped (VPN connection failed)
uk1889	Available
uk1890	Available
uk1891	Available
uk1893	Available
uk1894	Available
uk1895	Available
uk1896	Available
uk1897	Available
uk1898	Skipped (VPN connection failed)
uk1899	Skipped (VPN connection failed)
uk1900	Skipped (VPN connection failed)
uk1901	Skipped (VPN connection failed)
uk1902	Skipped (VPN connection failed)
uk1903	Available
uk1904	Skipped (VPN connection failed)
uk1905	Available
uk1906	Skipped (VPN connection failed)
uk1907	Available
uk1908	Skipped (VPN connection failed)
uk1909	Available
uk1910	Available
uk1911	Available
uk1912	Available
uk1913	Available
uk1914	Available
uk1915	Available
uk1916	Skipped (VPN connection failed)
uk1917	Skipped (VPN connection failed)
uk1918	Skipped (VPN connection failed)
uk1919	Skipped (VPN connection failed)
uk1920	Skipped (VPN connection failed)
uk1921	Available
uk1602	Skipped (VPN connection failed)
uk1924	Available
uk1925	Available
uk1926	Skipped (VPN connection failed)
uk1927	Skipped (VPN connection failed)
uk1933	Available
uk1934	Available
uk1935	Available
uk1944	Available
uk1945	Available
uk1946	Available
uk1999	Available
uk2000	Skipped (VPN connection failed)
uk2001	Skipped (VPN connection failed)
uk2002	Skipped (VPN connection failed)
uk2003	Skipped (VPN connection failed)
uk2004	Available
uk2005	Skipped (VPN connection failed)
uk2006	Available
uk2007	Available
uk2008	Skipped (VPN connection failed)
uk2009	Skipped (VPN connection failed)
uk2010	Available
uk2011	Available
uk2012	Available
uk2013	Available
uk2014	Available
uk2015	Available
uk2016	Available
uk2017	Skipped (VPN connection failed)
uk2018	Skipped (VPN connection failed)
uk2019	Skipped (VPN connection failed)
uk2020	Skipped (VPN connection failed)
uk2021	Available
uk2022	Skipped (VPN connection failed)
uk2023	Available
uk2024	Available
uk2025	Skipped (VPN connection failed)
uk2026	Skipped (VPN connection failed)
uk2027	Available
uk2028	Available
uk2029	Available
uk2030	Available
uk2031	Available
uk2032	Available
uk2033	Available
uk2034	Skipped (VPN connection failed)
uk2035	Skipped (VPN connection failed)
uk2036	Skipped (VPN connection failed)
uk2037	Available
uk2038	Skipped (VPN connection failed)
uk2039	Skipped (VPN connection failed)
uk2040	Available
uk2041	Available
uk2042	Skipped (VPN connection failed)
uk2043	Skipped (VPN connection failed)
uk2044	Available
uk2045	Available
uk2046	Skipped (VPN connection failed)
uk2047	Available
uk2048	Available
uk2049	Available
uk2050	Available
uk2051	Skipped (VPN connection failed)
uk2052	Available
uk2053	Skipped (VPN connection failed)
uk2054	Skipped (VPN connection failed)
uk2065	Available
uk2066	Skipped (VPN connection failed)
uk2067	Available
uk2069	Available
uk1604	Skipped (VPN connection failed)
uk2070	Skipped (VPN connection failed)
uk2071	Available
uk2072	Available
uk2073	Skipped (VPN connection failed)
uk2074	Available
uk2075	Available
uk2076	Available
uk2077	Skipped (VPN connection failed)
uk2079	Available
uk2080	Available
uk2081	Skipped (VPN connection failed)
uk2082	Skipped (VPN connection failed)
uk2083	Available
uk2084	Skipped (VPN connection failed)
uk2085	Available
uk2086	Available
uk2087	Skipped (VPN connection failed)
uk2088	Skipped (VPN connection failed)
uk2089	Available
uk2090	Skipped (VPN connection failed)
uk2091	Available
uk2092	Available
uk2093	Available
uk2094	Available
uk2095	Skipped (VPN connection failed)
uk2096	Available
uk2097	Available
uk2098	Skipped (VPN connection failed)
uk2102	Skipped (VPN connection failed)
uk2103	Available
uk2104	Skipped (VPN connection failed)
uk2105	Available
uk2106	Skipped (VPN connection failed)
uk2107	Available
uk2108	Skipped (VPN connection failed)
uk2109	Available
uk2110	Skipped (VPN connection failed)
uk2111	Skipped (VPN connection failed)
uk2112	Available
uk2113	Available
uk2114	Available
uk2115	Available
uk2116	Available
uk2117	Available
uk2118	Skipped (VPN connection failed)
uk2119	Skipped (VPN connection failed)
uk2120	Available
uk2121	Skipped (VPN connection failed)
uk2122	Available
uk2123	Skipped (VPN connection failed)
uk2124	Available
uk2142	Skipped (VPN connection failed)
uk2143	Available
uk2144	Skipped (VPN connection failed)
uk2145	Skipped (VPN connection failed)
uk2146	Available
uk2147	Skipped (VPN connection failed)
uk2148	Available
uk2149	Available
uk2150	Available
uk2151	Available
uk2152	Available
uk2153	Skipped (VPN connection failed)
uk2154	Skipped (VPN connection failed)
