Server	Externe IP	Ergebnis
uk1784	91.196.222.216	Available
uk765	194.88.100.12	Available
uk812	194.88.100.22	Available
uk813	194.88.100.28	Available
uk814	194.88.100.35	Available
uk871	194.88.100.56	Available
uk873	194.88.100.58	Available
uk875	194.88.100.69	Available
uk877	194.88.100.83	Available
uk879	194.88.100.95	Available
uk884	n/a	Skipped (VPN connection failed)
uk886	n/a	Skipped (VPN connection failed)
uk1806	n/a	Skipped (VPN connection failed)
uk888	n/a	Skipped (VPN connection failed)
uk890	n/a	Skipped (VPN connection failed)
uk892	n/a	Skipped (VPN connection failed)
uk894	n/a	Skipped (VPN connection failed)
uk896	194.88.100.179	Available
uk898	194.88.100.194	Available
uk1789	n/a	Skipped (VPN connection failed)
uk1790	92.118.61.96	Available
uk1791	92.118.61.104	Available
uk1792	92.118.61.118	Available
uk1807	92.118.61.133	Available
uk1808	92.118.61.148	Available
uk1809	92.118.61.166	Available
uk1810	92.118.61.177	Available
uk1811	92.118.61.200	Available
uk1812	n/a	Skipped (VPN connection failed)
uk1813	n/a	Skipped (VPN connection failed)
uk1814	n/a	Skipped (VPN connection failed)
uk1815	n/a	Skipped (VPN connection failed)
uk1816	n/a	Skipped (VPN connection failed)
uk1821	n/a	Skipped (VPN connection failed)
uk1822	2.58.72.33	Available
uk1823	2.58.72.51	Available
uk1824	n/a	Skipped (VPN connection failed)
uk1825	2.58.72.85	Available
uk1826	n/a	Skipped (VPN connection failed)
uk1827	2.58.72.112	Available
uk1828	2.58.72.118	Available
uk1829	2.58.72.136	Available
uk1830	2.58.72.158	Available
uk1835	193.203.14.157	Available
uk1836	193.203.14.115	Available
uk1837	193.203.14.105	Available
uk1848	n/a	Skipped (VPN connection failed)
uk1849	n/a	Skipped (VPN connection failed)
uk1850	n/a	Skipped (VPN connection failed)
uk1851	n/a	Skipped (VPN connection failed)
uk1838	n/a	Skipped (VPN connection failed)
uk1839	2.58.72.183	Available
uk1840	2.58.72.189	Available
uk1841	n/a	Skipped (VPN connection failed)
uk1842	2.58.72.220	Available
uk1843	n/a	Skipped (VPN connection failed)
uk1844	2.58.72.249	Available
uk1845	2.58.73.9	Available
uk1846	n/a	Skipped (VPN connection failed)
uk1847	2.58.73.39	Available
uk1866	91.196.222.106	Available
uk1867	91.196.222.232	Available
