Hostname	Ergebnis
us5063	Available
us5064	Available
us2920	Skipped (Dedicated IP required)
us2921	Skipped (Dedicated IP required)
us2924	Skipped (Dedicated IP required)
us2925	Skipped (Dedicated IP required)
us2929	Skipped (Dedicated IP required)
us2930	Skipped (Dedicated IP required)
us2939	Skipped (Dedicated IP required)
us2940	Skipped (Dedicated IP required)
us2943	Skipped (Dedicated IP required)
us2944	Skipped (Dedicated IP required)
us2945	Skipped (Dedicated IP required)
us2946	Skipped (Dedicated IP required)
us5055	Available
us2949	Skipped (Dedicated IP required)
us2950	Skipped (Dedicated IP required)
us4735	Available
us4951	Skipped (Dedicated IP required)
us4953	Skipped (Dedicated IP required)
us4954	Skipped (Dedicated IP required)
us5057	Skipped (VPN connection failed)
us5058	Skipped (VPN connection failed)
us5059	Available
us5060	Available
us5066	Skipped (VPN connection failed)
us5067	Available
us5068	Available
us5069	Skipped (VPN connection failed)
us5070	Skipped (VPN connection failed)
us5071	Available
us5072	Available
us5073	Skipped (VPN connection failed)
us5074	Skipped (VPN connection failed)
us5075	Skipped (VPN connection failed)
us5076	Available
us5077	Skipped (VPN connection failed)
us5078	Available
us5079	Available
us5080	Skipped (VPN connection failed)
us5081	Available
us5082	Skipped (VPN connection failed)
us5083	Available
us5084	Available
us5085	Skipped (VPN connection failed)
us5086	Skipped (VPN connection failed)
us5087	Available
us5088	Available
us5089	Skipped (VPN connection failed)
us5090	Available
us5091	Available
us5092	Skipped (VPN connection failed)
us5093	Skipped (VPN connection failed)
us5094	Skipped (VPN connection failed)
us5095	Available
us5099	Skipped (VPN connection failed)
us5100	Skipped (VPN connection failed)
us5101	Available
us5102	Available
us5103	Available
us5104	Skipped (VPN connection failed)
us5105	Skipped (VPN connection failed)
us5106	Available
us5107	Available
us5108	Skipped (VPN connection failed)
us5109	Skipped (VPN connection failed)
us5110	Available
us5111	Available
us5112	Available
us5113	Available
us5339	Skipped (VPN connection failed)
us5340	Skipped (VPN connection failed)
us5341	Skipped (VPN connection failed)
us5349	Available
us5350	Skipped (VPN connection failed)
us5351	Skipped (VPN connection failed)
us5359	Available
us5360	Available
us5381	Skipped (VPN connection failed)
us5386	Available
us5387	Skipped (VPN connection failed)
us5529	Skipped (VPN connection failed)
us5530	Available
us4957	Skipped (Dedicated IP required)
us4958	Skipped (Dedicated IP required)
us5482	Available
us5483	Skipped (VPN connection failed)
us5484	Available
us5485	Available
us5490	Available
us5491	Skipped (VPN connection failed)
us5492	Available
us5500	Skipped (VPN connection failed)
us5501	Skipped (VPN connection failed)
us5502	Skipped (VPN connection failed)
us5508	Available
us5509	Skipped (VPN connection failed)
us5510	Skipped (VPN connection failed)
us5561	Available
us4959	Skipped (Dedicated IP required)
us4960	Skipped (Dedicated IP required)
us5594	Available
us5597	Skipped (VPN connection failed)
us5605	Available
us5606	Skipped (VPN connection failed)
us5610	Available
us5611	Available
us5612	Skipped (VPN connection failed)
us5613	Available
us5614	Available
us5615	Available
us5781	Skipped (VPN connection failed)
us5782	Available
us5725	Skipped (VPN connection failed)
us5726	Skipped (VPN connection failed)
us5727	Skipped (VPN connection failed)
us5728	Skipped (VPN connection failed)
us5729	Available
us5741	Skipped (VPN connection failed)
us5742	Available
us5743	Available
us5744	Skipped (VPN connection failed)
us5745	Available
us5746	Skipped (VPN connection failed)
us5747	Available
us5748	Available
us5818	Skipped (VPN connection failed)
us5819	Available
us5820	Available
us5821	Available
us5822	Skipped (VPN connection failed)
us5823	Available
us5824	Skipped (VPN connection failed)
us5825	Skipped (VPN connection failed)
us5826	Skipped (VPN connection failed)
us5827	Skipped (VPN connection failed)
us5828	Available
us5829	Skipped (VPN connection failed)
us5830	Available
us5831	Available
us5832	Skipped (VPN connection failed)
us5833	Available
us5834	Skipped (VPN connection failed)
us5835	Skipped (VPN connection failed)
us5836	Available
us5837	Available
us5838	Available
us5839	Skipped (VPN connection failed)
us5840	Available
us5841	Available
us5842	Skipped (VPN connection failed)
us5843	Available
us5844	Skipped (VPN connection failed)
us5845	Skipped (VPN connection failed)
us5846	Skipped (VPN connection failed)
us5847	Available
us5848	Skipped (VPN connection failed)
us5849	Skipped (VPN connection failed)
us5850	Available
us5851	Available
us5852	Available
us5853	Skipped (VPN connection failed)
us5854	Skipped (VPN connection failed)
us5855	Available
us5856	Skipped (VPN connection failed)
us5857	Available
us5858	Available
us5859	Skipped (VPN connection failed)
us5860	Available
us5861	Available
us5862	Skipped (VPN connection failed)
us5863	Available
us5864	Skipped (VPN connection failed)
us5865	Skipped (VPN connection failed)
us5866	Available
us5867	Skipped (VPN connection failed)
us5922	Skipped (VPN connection failed)
us5925	Skipped (VPN connection failed)
us5926	Available
us5927	Available
us5935	Available
us5936	Skipped (VPN connection failed)
us5937	Skipped (VPN connection failed)
us5938	Available
us5939	Available
us5940	Available
us5941	Skipped (VPN connection failed)
us5942	Available
us5946	Available
us5947	Skipped (VPN connection failed)
us5953	Available
us5955	Skipped (VPN connection failed)
us5956	Skipped (VPN connection failed)
us5993	Available
us5994	Skipped (VPN connection failed)
us5995	Skipped (VPN connection failed)
us5996	Skipped (VPN connection failed)
us5997	Available
us5998	Available
us5999	Available
us6000	Skipped (VPN connection failed)
us6001	Skipped (VPN connection failed)
us6002	Available
us6003	Skipped (VPN connection failed)
us6004	Available
us6045	Available
us6046	Skipped (VPN connection failed)
us6047	Available
us6126	Available
us6245	Skipped (VPN connection failed)
us6246	Available
us6247	Skipped (VPN connection failed)
us6248	Available
us6249	Blocked
us6251	Blocked
us6252	Blocked
us6253	Blocked
us6254	Blocked
us6255	Skipped (VPN connection failed)
us6257	Skipped (VPN connection failed)
us6262	Available
us6263	Available
us6264	Available
us6265	Skipped (VPN connection failed)
us6266	Skipped (VPN connection failed)
us6267	Skipped (VPN connection failed)
us6268	Available
us6269	Available
us6270	Available
us6271	Skipped (VPN connection failed)
us6272	Available
us6273	Available
us6274	Skipped (VPN connection failed)
us6275	Available
us6276	Skipped (VPN connection failed)
us6277	Skipped (VPN connection failed)
us6278	Available
us6279	Skipped (VPN connection failed)
us6280	Skipped (VPN connection failed)
us6281	Skipped (VPN connection failed)
us6282	Available
us6283	Available
us6284	Available
us6285	Skipped (VPN connection failed)
us6286	Skipped (VPN connection failed)
us6287	Skipped (VPN connection failed)
us6288	Available
us6289	Available
us6290	Available
us6291	Skipped (VPN connection failed)
us6292	Available
us6293	Available
us6294	Skipped (VPN connection failed)
us6295	Available
us6296	Skipped (VPN connection failed)
us6298	Available
us6299	Skipped (VPN connection failed)
us6300	Skipped (VPN connection failed)
us6301	Skipped (VPN connection failed)
us6302	Available
us6303	Available
us6304	Available
us6305	Skipped (VPN connection failed)
us6306	Skipped (VPN connection failed)
us6307	Skipped (VPN connection failed)
us6308	Available
us6309	Available
us6310	Skipped (VPN connection failed)
us6311	Skipped (VPN connection failed)
us6312	Available
us6313	Available
us6314	Available
us6315	Available
us6316	Skipped (VPN connection failed)
us6317	Skipped (VPN connection failed)
us6318	Available
us6319	Skipped (VPN connection failed)
us6320	Skipped (VPN connection failed)
us6321	Skipped (VPN connection failed)
us6322	Available
us6323	Available
us6324	Available
us6352	Skipped (VPN connection failed)
us6458	Skipped (VPN connection failed)
us6459	Skipped (VPN connection failed)
us6460	Available
