Hostname	External IP	Ergebnis
us5063	83.171.250.219	Available
us5064	83.171.250.228	Available
us2920	n/a	Skipped (Dedicated IP required)
us2921	n/a	Skipped (Dedicated IP required)
us2924	n/a	Skipped (Dedicated IP required)
us2925	n/a	Skipped (Dedicated IP required)
us2929	n/a	Skipped (Dedicated IP required)
us2930	n/a	Skipped (Dedicated IP required)
us2939	n/a	Skipped (Dedicated IP required)
us2940	n/a	Skipped (Dedicated IP required)
us2943	n/a	Skipped (Dedicated IP required)
us2944	n/a	Skipped (Dedicated IP required)
us2945	n/a	Skipped (Dedicated IP required)
us2946	n/a	Skipped (Dedicated IP required)
us5055	145.14.135.137	Available
us2949	n/a	Skipped (Dedicated IP required)
us2950	n/a	Skipped (Dedicated IP required)
us4735	185.199.103.101	Available
us4951	n/a	Skipped (Dedicated IP required)
us4953	n/a	Skipped (Dedicated IP required)
us4954	n/a	Skipped (Dedicated IP required)
us5057	185.199.103.107	Available
us5058	185.199.103.114	Available
us5059	185.199.103.121	Available
us5060	185.199.103.123	Available
us5066	91.229.244.5	Available
us5067	185.207.249.8	Available
us5068	n/a	Skipped (VPN connection failed)
us5069	n/a	Skipped (VPN connection failed)
us5070	n/a	Skipped (VPN connection failed)
us5071	n/a	Skipped (VPN connection failed)
us5072	185.207.249.38	Available
us5073	n/a	Skipped (VPN connection failed)
us5074	n/a	Skipped (VPN connection failed)
us5075	n/a	Skipped (VPN connection failed)
us5076	91.229.244.73	Available
us5077	n/a	Skipped (VPN connection failed)
us5078	91.229.244.87	Available
us5079	185.207.249.81	Available
us5080	91.229.244.100	Available
us5081	n/a	Skipped (VPN connection failed)
us5082	185.207.249.100	Available
us5083	91.229.244.117	Available
us5084	185.207.249.110	Available
us5085	185.207.249.115	Available
us5086	185.228.19.251	Available
us5087	n/a	Skipped (VPN connection failed)
us5088	n/a	Skipped (VPN connection failed)
us5089	n/a	Skipped (VPN connection failed)
us5090	45.143.82.231	Available
us5091	n/a	Skipped (VPN connection failed)
us5092	n/a	Skipped (VPN connection failed)
us5093	n/a	Skipped (VPN connection failed)
us5094	n/a	Skipped (VPN connection failed)
us5095	45.143.82.206	Available
us5099	n/a	Skipped (VPN connection failed)
us5100	n/a	Skipped (VPN connection failed)
us5101	185.199.103.178	Available
us5102	185.199.103.185	Available
us5103	185.199.103.192	Available
us5104	86.107.55.243	Available
us5105	185.199.103.204	Available
us5106	86.107.55.249	Available
us5107	185.199.103.213	Available
us5108	n/a	Skipped (VPN connection failed)
us5109	185.93.0.99	Available
us5110	n/a	Skipped (VPN connection failed)
us5111	n/a	Skipped (VPN connection failed)
us5112	n/a	Skipped (VPN connection failed)
us5113	185.187.171.72	Available
us5339	n/a	Skipped (VPN connection failed)
us5340	n/a	Skipped (VPN connection failed)
us5341	n/a	Skipped (VPN connection failed)
us5349	83.171.250.192	Available
us5350	n/a	Skipped (VPN connection failed)
us5351	n/a	Skipped (VPN connection failed)
us5359	5.182.16.144	Available
us5360	5.182.16.158	Available
us5381	n/a	Skipped (VPN connection failed)
